artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;161240;2002;133.592;pop;0.764;7;-5.076
50 Cent;Candy Shop;209106;2005;125.173;hip hop, pop;0.574;11;-7.961
Will Smith;Switch;197666;2020;102.516;hip hop, pop;0.9;5;-4.325
Mark Ronson;Nothing Breaks Like a Heart (feat. Miley Cyrus);217466;2018;114.066;pop;0.794;7;-5.844
JAY-Z;Run This Town;267520;2009;86.844;hip hop;0.924;1;-1.802
Clean Bandit;Symphony (feat. Zara Larsson);214866;2017;122.95;pop, Dance/Electronic;0.609;0;-4.699
Delta Goodrem;Lost Without You;248546;2003;146.301;pop;0.747;7;-6.682
Bow Wow;Like You (feat. Ciara);205840;2005;82.017;hip hop, pop, R&B;0.6;6;-8.365
Lloyd;You;273133;2007;130.159;hip hop, pop, R&B;0.876;5;-6.008
Usher;More - RedOne Jimmy Joker Remix;219986;2010;125.083;hip hop, pop, R&B;0.893;7;-2.628
Soulja Boy;Turn My Swag On;206333;2008;150.154;hip hop, pop;0.712;3;-3.104
Disclosure;Latch;255631;2013;121.985;pop, Dance/Electronic;0.727;1;-5.456
Avril Lavigne;When You're Gone;240493;2007;142.034;pop;0.719;4;-3.921
Hayden James;NUMB;217296;2019;147.932;pop, Dance/Electronic;0.558;10;-7.046
Stromae;Alors on danse - Radio Edit;206066;2010;119.951;pop;0.59;1;-9.206
Vanessa Carlton;A Thousand Miles;237493;2002;94.931;Folk/Acoustic, pop;0.825;11;-3.862
Kelly Clarkson;Already Gone;281560;2009;78.139;pop, R&B;0.872;9;-2.996
Black Eyed Peas;Don't Lie;219000;2005;89.885;hip hop, pop;0.785;9;-5.299
Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];213133;2001;129.078;Dance/Electronic;0.922;0;-8.399
Mary J. Blige;One;260466;2005;185.888;pop, R&B;0.874;0;-3.161
Fabolous;Into You (feat. Tamia);295773;2003;182.12;hip hop, pop, R&B;0.538;7;-7.886
Nickelback;When We Stand Together;190786;2011;187.961;rock, metal;0.9;10;-3.541
Shawn Mendes;Señorita;190799;2019;116.967;pop;0.548;9;-6.049
*NSYNC;Bye Bye Bye;200560;2000;172.656;pop;0.928;8;-4.806
Sugababes;About You Now;212400;2007;82.499;pop, R&B;0.699;1;-6.065
Jax Jones;You Don't Know Me - Radio Edit;213946;2016;124.007;hip hop, pop, Dance/Electronic;0.669;11;-6.054
Usher;Caught Up;224640;2004;110.086;hip hop, pop, R&B;0.806;6;-4.606
Girls Aloud;Jump;220360;2003;134.465;pop, Dance/Electronic;0.826;8;-6.031
D4L;Laffy Taffy;224253;2005;77.499;hip hop, pop;0.439;7;-7.994
Boys Like Girls;The Great Escape;206520;2007;149.934;pop;0.94;1;-4.012
